PatentNo	Cited Patent No
5331180	4810662
5739065	4810662
6225672	4810662
5340575	4855055
5274081	4855055
5026828	4855055
5030720	4855055
5011915	4855055
5576175	4855055
5677424	4855055
5587034	4873128
5492583	4873128
5012647	4873128
4968555	4873128
5176865	4873128
5401588	4873128
5292960	4918239
5654489	4918239
6376422	4918239
5605972	4927890
6001894	4927890
5817871	4929728
5912381	4935535
6716892	4935535
5734459	4966453
5297559	4966453
5971543	4966453
5431753	4968357
5738887	4971812
5641659	4971812
6106872	4971812
5363057	4992253
6723274	4992253
6603650	4992253
6744618	4992253
5378758	5010134
5378759	5010134
5389724	5010134
5451635	5010134
5504153	5010134
5504154	5010134
5516840	5010134
5567768	5010134
5545689	5010134
5545826	5010134
5652305	5010134
5989681	5010134
6174574	5010134
5541131	5024954
5212108	5024954
5801086	5024954
5362886	5068451
5272021	5091274
5648185	5091274
6322924	5091274
6495067	5091274
6682823	5091274
6932989	5094782
5629045	5094782
5500205	5094782
5891919	5094782
6025365	5137912
6426351	5137912
6210680	5137912
5792767	5158953
5512677	5158953
5340814	5158953
6946470	5158953
6568456	5161602
6845882	5170671
5351559	5170671
5415704	5178694
5498302	5178694
5509509	5180214
5264767	5180214
5373457	5180214
6036285	5180214
5918951	5180214
5951122	5180214
6125318	5180214
6220676	5180214
6178370	5180214
6757601	5180214
6795763	5180214
6799104	5180214
6799105	5180214
6947514	5180214
6928352	5180214
6718243	5180214
6711488	5180214
6728615	5180214
6691009	5180214
6694239	5180214
6191204	5180761
6255376	5180761
6596528	5206162
6902915	5206162
6163767	5220639
6260015	5220639
6094634	5220639
6067520	5220639
5995932	5220639
5452397	5220639
5602960	5220639
5680510	5220639
5787230	5220639
5751905	5220639
5752227	5220639
5832428	5220639
5893133	5220639
5884260	5220639
5852801	5220639
6535787	5221692
6635659	5221692
6084033	5223631
6054407	5223631
6229028	5223631
6051639	5241036
6046300	5241036
6133410	5241036
6008309	5241036
6831116	5241036
6521634	5242926
6553687	5245994
6859946	5245994
6766537	5245994
6904616	5245994
6928662	5245994
6925655	5245994
5887281	5245994
5758639	5245994
5711033	5245994
5566668	5245994
6257235	5245994
5530223	5259861
5409521	5259861
5228653	5259861
6634568	5259861
5348959	5262421
5780662	5268487
5844065	5268487
5856572	5268487
5939520	5268487
5939521	5268487
5977289	5268487
6060575	5268487
6093790	5268487
6087470	5268487
6069278	5268487
6191185	5268487
5348959	5270321
6305232	5289726
6370949	5289726
6342386	5290693
5574089	5290693
5919689	5290693
5989728	5294312
6120836	5294312
5460704	5294312
5695877	5294312
5746500	5294312
6375639	5294312
6419804	5294312
6306366	5302372
5792445	5302372
5833613	5302372
5846200	5302372
5848968	5302372
5688490	5302372
5706819	5302372
5653959	5302372
5456257	5302372
5370901	5302372
5951478	5302372
5451860	5307007
5530340	5307007
5646518	5307007
5559425	5307007
5889394	5307007
5818292	5307007
5760639	5307007
6229382	5307007
6255807	5307007
6242897	5307007
6556070	5307007
RE38250	5307007
6756281	5311047
6740909	5311047
6242794	5311047
6225672	5311047
6310382	5311047
6342720	5311047
5789263	5311047
5682037	5311047
5557133	5311047
5449923	5311047
5923049	5311047
6137123	5311047
6043549	5311047
5688684	5312739
5612202	5312739
5863784	5312739
5391671	5317069
5526851	5320143
5601121	5320143
5651396	5320143
5669861	5320143
6330903	5320143
