Patent No	Cited patent
4855055	4639371
4855055	4683136
4855055	4722840
4855055	4742158
4873128	4305770
4873128	4419400
4918239	1460876
4918239	1988481
4918239	2051266
4918239	2092870
4918239	3974221
4918239	4154762
4918239	4250121
4918239	4670605
4918239	4816606
4927890	3900530
4927890	4735736
4927890	4774280
4929728	4795750
4935535	4782175
4966453	3801188
4966453	3947099
4966453	4535394
4966453	4765731
4966453	4798458
4968357	3193384
4971812	3911103
4971812	3920851
4978783	4067998
4978783	4709049
4978783	4711903
4978783	4755524
4992253	3572992
4992253	3718490
5010134	4511682
5010134	4600746
5024954	3964084
5068451	4864061
5091274	4657694
5091274	4737422
5091274	4798773
5137912	4590061
5137912	4767626
5158953	3511836
5158953	4335127
5158953	4585772
5161602	2594998
5170671	4638672
5172194	4758868
5172194	4835581
5172194	4878095
5172194	4926232
5178694	3840442
5178694	4728586
5178694	4820360
5178694	4851055
5178694	4872927
5180214	3838889
5180214	4033633
5180214	4040677
5180214	4224568
5180214	4583173
5180214	4683538
5180214	4762375
5180214	4832415
5180214	5015042
5180761	4093578
5180761	4465799
5180761	4703075
5194383	4981799
5206162	4981799
5220639	4587670
5220639	4718094
5220639	4759068
5220639	4797929
5220639	4797930
5220639	4803729
5220639	4829577
5220639	4831551
5221692	4599342
5221692	5045565
5223631	3007944
5223631	3316279
5223631	3333010
5223631	3472876
5223631	3843691
5223631	3935272
5223631	4256649
5223631	4822899
5241036	4868250
5242926	3933826
5242926	4761417
5245994	3079917
5245994	3234939
5245994	4328798
5245994	4498202
5245994	4502480
5245994	4590951
5245994	4700411
5245994	4852564
5245994	4903694
5245994	5093938
5245994	5136728
5259861	4259270
5259861	4435342
5259861	4900355
5262421	4543256
5266319	3879547
5268487	3461136
5268487	3920612
5268487	4048144
5268487	4118392
5268487	4145351
5272234	5204424
5289726	3927564
5289726	4984470
5302372	4466442
5302372	4957656
5307007	4450367
5307007	4461991
5307007	4792750
5307007	4890052
5307007	4935690
5307007	5038053
5307007	5045773
5307007	5144223
5311047	4385200
5311047	4600935
5311047	4633287
5311047	4665428
5311047	4728997
5311047	4736234
5311047	4820915
5311047	4847215
5312739	3996107
5312739	4282319
5312739	4448790
5312739	4560651
5312739	4814267
5312739	4970158
5312739	5013561
5312739	5141859
5312739	5188956
5317069	5182351
5320143	4052906
5320143	4535642
5320143	4624288
5320143	5033516
5320792	5147829
5320792	5232877
5320792	H626
5332198	3761548
5332198	4259270
5332198	4310292
5332198	4375440
5332198	4435342
5332198	5180539
5332198	5196049
5340500	4557856
5340500	5008468
5340500	5032547
5340500	5198153
5340814	5120736
5340814	5128338
5340814	5158953
5340904	5076817
5347161	4752813
5347161	4994873
5347161	5057899
5347161	5109256
5348959	4543256
5348959	5153178
5348959	5262421
5348959	5270321
5351309	5144684
5351559	4448081
5351559	4464939
5351559	4891990
5351559	4984470
5351559	5170671
5358858	4078332
5358858	4079544
5358858	4235043
5358858	4752638
5358858	4857474
5358858	5055402
5366761	4050962
5366761	4178171
5366761	4305753
5373034	5264513
5378942	4565934
5378942	4700088
5378942	4820943
5378942	5291076
5384016	3595484
5384016	4170513
5384016	4234333
5384016	4256708
5384016	5021133
5384158	4880694
5384158	4959243
5384158	5055322
5384158	5215782
5385725	4466442
5385725	4957656
5394735	4058368
5394735	4224280
5394735	4931851
5395900	3790602
5395900	4014771
5395900	4119640
5395900	4233130
5395900	4293678
5395900	4357219
5395900	4465806
5395900	4847337
5395900	4981743
5395900	5196481
5405456	3553038
5405456	3885059
5405456	4686117
5405456	4992309
5405556	3718383
5405556	3816160
5405556	3819782
5405556	4022855
5405556	4581252
5405556	5253323
5405556	5258144
5407579	3897414
5407579	4401652
5407579	4645829
5407579	5078886
5407579	5114589
5407579	5264555
5407593	4589197
5407593	5041346
5407593	5061581
5407593	5102751
5407593	5256335
5411770	4212900
5413617	3966463
5413617	4039317
5413617	4039327
5413617	4456473
5413617	4456474
5414070	3461136
5414070	4118392
5414070	4145351
5416709	3857613
5416709	4363523
5416709	4826258
5416709	4835695
5416709	4924394
5416709	4984164
5416709	5051907
5416709	5063514
5416709	5245695
5416709	5276620
5422594	3358215
5422594	4394632
5422594	4531105
5422594	4723113
5422594	4831340
5422594	4897618
5422594	5126694
5426385	4823031
5426385	4982363
5429966	5158902
5429966	5208173
5429966	5219774
5429966	5268320
5429982	4454646
5429982	5236862
5430739	4191970
5430739	4397022
5430739	4679082
5430739	4723243
5430739	4763330
5430739	4833678
5430739	4845713
5430739	4873688
5430739	4914660
5430739	4945537
5430739	4958348
5430739	5020060
5430739	5040179
5436270	4308280
5436270	4405643
5436270	5028627
5436270	5081148
5436270	5158883
5436270	5216025
5436270	5796195
5436992	4427260
5436992	4447116
5440570	4191970
5440570	4397022
5440570	4679082
5440570	4723243
5440570	4763330
5440570	4833678
5440570	4845713
5440570	4873688
5440570	4914660
5440570	4945537
5440570	4958348
5440570	5020060
5440570	5040179
5445790	4762558
5453407	4459363
5453407	4944930
5453407	5110768
5455001	4609528
5455001	4613480
5455001	4661156
5455001	4676829
5455001	4762679
5455001	5098469
5457069	4478881
5457069	4870033
5457069	5084417
5457069	5208170
5457069	5302552
5458847	3922396
5458847	3962494
5458847	4169171
5458847	4234628
5458847	4349390
5458847	5167992
5460794	3607046
5460794	4877759
5466346	4950368
5475327	4344188
5475327	5329173
5475327	5329189
5478522	3969278
5478522	4069043
5478522	4289833
5478522	4299629
5478522	4393563
5478522	4464205
5478522	4501717
5478522	4582536
5478522	4587096
5478522	4662939
5478522	4714586
5478522	4799955
5478522	4954170
5478522	4964909
5478522	5034187
5478522	5298052
5478522	5356453
5478522	5424257
5478757	4522663
5478757	5374581
5482890	5104824
5482890	5229320
5482890	5244828
5482890	5313484
5482890	5372675
5482907	2492543
5482907	4348485
5482907	4400431
5486311	4904066
5486794	4234858
5486794	4243953
5486794	4801898
5486934	3622220
5486934	4863224
5486934	4946253
5486934	4993789
5486934	5085496
5486934	5272550
5486934	5331445
5487954	3928709
5487954	4015030
5487954	4178387
5487954	4255492
5487954	4323621
5494438	4137712
5494438	4441312
5494438	4628688
5494438	5253474
5495005	3532711
5495005	3555043
5495005	3912733
5495005	3988335
5495005	4816479
5495037	4865762
5495037	4924020
5495037	4981607
5495037	5098978
5495037	5138010
5495037	5144055
5495037	5211877
5495037	5264517
5495037	5281685
5495037	5348684
5495037	5380915
5499833	2643898
5499833	3666292
5499833	4762332
5502055	4761417
5502055	5153178
5502055	5436270
5504914	4374418
5504914	4631660
5504914	4807115
5504914	4965720
5504914	5021993
5504914	5155817
5504914	5224063
5504914	5355460
5504914	5396640
5504919	4030077
5504919	4037205
5504919	4464732
5504919	4595995
5504919	4799149
5504919	4799152
5504919	4852020
5504919	4991134
5504919	5068822
5504919	5168567
5504919	5179712
5504919	5179717
5506006	5073408
5506006	5236874
5506006	5270233
5506006	5286664
5506538	4575811
5506538	4585961
5510457	4772940
5510457	4789748
5510457	4795242
5512677	5120736
5512677	5128338
5512677	5158953
5514202	3390981
5514202	4776883
5514202	5292359
5514202	5413617
5517054	4521800
5517054	4990988
5518660	2970966
5518660	4676928
5518660	4888248
5518660	4929433
5518660	5246624
5518660	5384291
5518660	5433774
5521299	4683202
5525165	2892743
5525165	3194696
5525165	3268372
5525165	5102476
5526851	4052906
5526851	4535642
5526851	4624288
5526851	5033516
5526851	5320143
5527397	3422527
5527397	4082570
5527683	4797350
5533307	4094111
5533307	4823522
5534080	4342608
5534080	4533603
5534302	3973071
5534302	4919739
5534302	5176865
5535146	4620206
5535146	4831340
5535146	4939681
5535146	4985860
5535146	5017973
5535146	5105373
5535146	5297066
5535146	5313398
5535146	5345401
5535146	5379231
5535146	5381345
5535146	5394346
5536676	4764480
5536676	4966868
5536676	5254495
5536676	5302539
5536676	5302552
5536676	5403772
5536676	5409853
5545305	5256260
5550093	4608356
5550093	4882307
5553795	2765122
5553795	4284245
5553795	4619406
5557228	5151625
5557228	5196742
5557523	4192180
5557523	4340935
5557523	4709223
5557523	4719796
5557523	4771387
5557523	4831868
5557523	4986114
5557523	5005405
5557523	5339682
5559197	4157324
5559197	4182732
5559197	5087657
5560813	3785939
5560813	4270986
5563230	4904066
5563230	5138010
5563230	5252695
5563230	5259987
5563230	5332251
5563230	5350538
5563230	5399290
5567638	4808261
5567638	5104818
5567638	5376593
5567638	5382533
5567638	5422291
5567940	4250384
5567940	5395663
5570375	5042034
5571454	4569734
5571454	4599194
5571454	4711742
5571454	5093033
5571454	5185100
5571454	5198153
5571454	5225109
5571454	5254633
5571454	5422423
5578175	3632498
5578175	3711385
5578175	4584085
5578175	4794048
5578175	4902388
5578175	5066380
5578175	5160599
5582540	2855244
5582540	3902128
5582540	4490948
5582540	5341602
5583073	4122215
5583073	4162337
5583073	4372996
5583073	5236873
5585183	4352883
5585183	4407957
5585183	4409331
5586205	3777149
5586205	3891302
5586205	4386822
5586205	4695123
5586205	4721352
5586205	4753497
5586205	4763972
5586205	4942623
5586205	5071212
5586205	5265178
5586205	5408555
5587034	2741294
5587034	30770
5587034	3244784
5587034	3367814
5587034	4394338
5587034	4474636
5587034	4873128
5595040	1725439
5595040	3716959
5595040	5148642
5595040	5163256
5595040	5349749
5596289	4228366
5596289	4338527
5596289	4929908
5596289	5130666
5596289	5196742
5596289	5394026
5597546	4212852
5597546	4444908
5602504	4405829
5602504	4586155
5602504	5151624
5602654	4472732
5602654	5019903
5602654	5303060
5602654	5305112
5602654	5382976
5602654	5473383
5604136	4211586
5604136	5055894
5604136	5068204
5610098	4170818
5610098	4990988
5610873	5161218
5610873	5253212
5610873	5343439
5614270	4468420
5616749	5057618
5616749	5412128
5623263	4551683
5623263	4600904
5623263	4884036
5623263	5298900
5624867	5010037
5624867	5162263
5624867	5217923
5624867	5217924
5624867	5268317
5629221	3793090
5629221	4623912
5629221	5032545
5629221	5219773
5629221	5369297
5629221	5407870
5629221	5478765
5629221	5504021
5630298	1574563
5630298	4047341
5630298	4328648
5630298	4766706
5630298	4823522
5630298	5533307
5631575	3969633
5631575	4100429
5631575	4808854
5631575	5373202
5635258	4740263
5635258	5353737
5640778	2785474
5640778	2855687
5640778	3439430
5640778	3848339
5640778	5317811
5641859	5232631
5643032	4172005
5643032	5228878
5643032	5394006
5643032	5401676
5643032	5506476
5643108	5028049
5643108	5301941
5647116	3115612
5647116	4586012
5647116	4901429
5651396	2441596
5651396	3628645
5651396	4052906
5651396	4217793
5651396	4454931
5651396	4624288
5651396	5033516
5651396	5078021
5651396	5320143
5651396	5526851
5652440	5371387
5652440	5404032
5653476	2305725
5653476	3002769
5653476	3501174
5653953	3725531
5653953	4427576
5653953	4605546
5656197	5138010
5656197	5399290
5656197	5425897
5656197	5447655
5656197	5563230
5656274	4595693
5656964	3838262
5656964	4546275
5656964	4586155
5656964	5397931
5658806	5283455
5658806	5300446
5658806	5395801
5661051	4381202
5661051	4746377
5661051	5120666
5661051	5188973
5661051	5401685
5661051	5426062
5661051	5510278
5661051	5580802
5663238	3935166
5663238	4059546
5665423	4522663
5665423	4663188
5665423	5374581
5665423	5478757
5667913	5066556
5667913	5108855
5667913	5424151
5668481	3976864
5668481	4519078
5668481	4598401
5668481	4601033
5668481	4601034
5668481	4817093
5668481	5412665
5670016	5376235
5670414	4912064
5670414	4933300
5670414	5225032
5670414	5238866
5670414	5362684
5670414	5366713
5670414	5390626
5670414	5445992
5672431	3755253
5672431	4510277
5674777	4698104
5674777	5122482
5674777	5171708
5674777	5208185
5674777	5227329
5674777	5298452
5674777	5366926
5674777	5389570
5674777	5393682
5678835	3937486
5678835	3981516
5678835	3995875
5678835	4132435
5678835	4424877
5678835	5568935
5686493	5196195
5686493	5436270
5686541	2527590
5686541	2931786
5686541	3179622
5686541	3334110
5686541	3636133
5686541	3669920
5686541	3923747
5686541	3979365
5686541	4520144
5686541	4762900
5686541	4766158
5686541	4766183
5686541	4786693
5686541	4902767
5686541	5112932
5696206	4772940
5696206	4789748
5696206	4795242
5696206	5510457
5698085	2568713
5698085	3356597
5698085	4647365
5698644	5484862
5700440	4311680
5700440	4857280
5701020	4980731
5701020	5091759
5701020	5124762
5701020	5331410
5701020	5408111
5701100	3787774
5702636	5449733
5704859	3648519
5704859	3900088
5704859	3942615
5704859	4121474
5704859	5324100
5704859	5480357
5705047	4643804
5705047	4666569
5705047	4931149
5705047	5272355
5705047	5275715
5705047	5298767
5705047	5331180
5705047	5376825
5705047	5420049
5705047	5444296
5705047	5444298
